1529599765334	Tout comme	jl 1		I n’a fɔ													43726	delete
-17944876358	Construire	bk		Lɔ			Dilan										43725	delete v
27783419432	Bénin	yq		Benɛn													43725	delete geo
27946172077	Délivrer / Racheter / Sauver	yq		Kunmabɔ			Kisi		Hɔɔrɔnya								43725	delete marked v
