1528677421033	2 Thessaloniciens			Tesalonikaw filanan	WYI			Tesalonikaw filanan	ABBF		2 Tesalonikekaw	ABM						Bible
1528677421034	1 Timothée			Timote fɔlɔ	WYI			Timote fɔlɔ	ABBF		1 Timote	ABM						Bible
1528677421035	2 Timothée			Timote filanan	WYI			Timote filanan	ABBF		2 Timote	ABM						Bible
1528677421036	Tite			Titi	WYI			Titi	ABBF		Tite	ABM						Bible
1528677421037	Philémon			Filemɔn	WYI			Filemɔn	ABBF		Filemon	ABM						Bible
1528677421038	Hébreux			Eburuw	WYI			Eburuw	ABBF		Heburuw	ABM						Bible
1528677421039	Jacques			Zaki	WYI			Zaki	ABBF		Yakuba	ABM						Bible
1528677421040	1 Pierre			Piyɛri fɔlɔ	WYI			Piyɛri fɔlɔ	ABBF		1 Piɛrɛ	ABM						Bible
1528677421041	2 Pierre			Piyɛri filanan	WYI			Piyɛri filanan	ABBF		2 Piɛrɛ	ABM						Bible
1528677421042	1 Jean			Zan fɔlɔ	WYI			Zan fɔlɔ	ABBF		1 Yuhana	ABM						Bible
1528677421043	2 Jean			Zan filanan	WYI			Zan filanan	ABBF		2 Yuhana	ABM						Bible
1528677421044	3 Jean			Zan sabanan	WYI			Zan sabanan	ABBF		3 Yuhana	ABM						Bible
1528677421045	Jude			Zude	WYI			Zude	ABBF		Jude	ABM						Bible
1528677421046	Révélation			Yirali	WYI			Yirali	ABBF		Jirali	ABM						Bible
