-17944876358	Déscendre	dico	(v.)	jigi		N be jigi yan											43725	vi
1527665647684	Souligner (accentuer)	yq		K'a yira ka gwɛ													43726	delete wt
1529143433476	gros / vaste	yq	&nbsp;(adj.)	bon													43725	delete essentiel marked
1529599765334	Tout comme	jl 1		I n’a fɔ													43726	delete
1529599765549	Esclave filèle et avisé	jl 19		Jɔncɛ kantigiman hakiliman													43726	delete
1529599765551	Esclave filèle et avisé (Bible)	jl 19		Jɔncɛ dannamɔgɔ hakiliman													43726	
27783419432	Ésclave fidèle et avisé	yq		Jɔncɛ kantigiman hakiliman	JL						jɔnkɛ dannamɔgɔ hakiliman	BM					43725	wt
27783419497	Coordinateur du collège des anciens			Diinan mɔgɔkɔrɔw ɲɛbila													43726	delete wt
6684371870	Gauche (à)	yq		Numan (bolo) fɛ													43725	delete essentiel
